tree_number	newick	group_spans	group_convergence
18	(1,(2,(3,4,((((5,((6,7,8)6-8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;6-8;9-17;10-17;10-16;13-15	5;2;4;5;1;2;10;19;3;5;6;1;1
19	(1,(2,(3,4,((((5,(((6,7,(8,(9,10)9-10)8-10)6-10,11,12,(13,14,15)13-15,16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;6-16;6-10;8-10;9-10;13-15	5;2;4;5;1;2;10;19;7;3;1;1;1
20	(1,(2,(3,4,((((5,((6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;6-16;8-16;8-10;9-10;13-15	5;2;4;5;1;2;10;19;7;2;1;1;1
21	(1,(2,(3,4,((((5,((6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;6-16;8-16;9-16;9-10;13-15	5;2;4;5;1;2;10;19;7;2;1;1;1
22	(1,(2,(3,4,((((5,((6,7,(8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;6-16;8-16;9-16;10-16;10-13	5;2;4;5;1;2;10;19;7;2;1;1;1
23	(1,(2,(3,4,((((5,((6,7,(8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16)6-16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;6-16;8-16;9-16;10-16;13-15	5;2;4;5;1;2;10;19;7;2;1;1;1
24	(1,(2,(3,4,((((5,(6,7,(((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;8-16;8-10;9-10;13-15	5;2;4;5;1;2;10;19;8;2;1;1;1
25	(1,(2,(3,4,((((5,(6,7,((8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;8-16;9-16;9-10;13-15	5;2;4;5;1;2;10;19;8;2;1;1;1
26	(1,(2,(3,4,((((5,(6,7,((8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;8-16;9-16;10-16;10-13	5;2;4;5;1;2;10;19;8;2;1;1;1
27	(1,(2,(3,4,((((5,(6,7,((8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16,17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;8-16;9-16;10-16;13-15	5;2;4;5;1;2;10;19;8;2;1;1;1
