tree_number	newick	group_spans	group_convergence
16	(1,2,(3,(4,(5,6,((((7,((8,9,10)8-10,((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-10;11-19;11-18;12-18;15-17	0;5;2;4;5;1;2;10;19;3;5;1;1;1
17	(1,2,(3,(4,(5,6,((((7,((8,9,10)8-10,(11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-10;11-19;12-19;12-18;12-15	0;5;2;4;5;1;2;10;19;3;5;6;1;1
18	(1,2,(3,(4,(5,6,((((7,((8,9,10)8-10,(11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-10;11-19;12-19;12-18;15-17	0;5;2;4;5;1;2;10;19;3;5;6;1;1
19	(1,2,(3,(4,(5,6,((((7,(((8,9,(10,(11,12)11-12)10-12)8-12,13,14,(15,16,17)15-17,18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-18;8-12;10-12;11-12;15-17	0;5;2;4;5;1;2;10;19;7;3;1;1;1
20	(1,2,(3,(4,(5,6,((((7,((8,9,((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-18;10-18;10-12;11-12;15-17	0;5;2;4;5;1;2;10;19;7;2;1;1;1
21	(1,2,(3,(4,(5,6,((((7,((8,9,(10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-18;10-18;11-18;11-12;15-17	0;5;2;4;5;1;2;10;19;7;2;1;1;1
22	(1,2,(3,(4,(5,6,((((7,((8,9,(10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-18;10-18;11-18;12-18;12-15	0;5;2;4;5;1;2;10;19;7;2;1;1;1
23	(1,2,(3,(4,(5,6,((((7,((8,9,(10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18)8-18,19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;8-18;10-18;11-18;12-18;15-17	0;5;2;4;5;1;2;10;19;7;2;1;1;1
24	(1,2,(3,(4,(5,6,((((7,(8,9,(((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18,19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;10-18;10-12;11-12;15-17	0;5;2;4;5;1;2;10;19;8;2;1;1;1
25	(1,2,(3,(4,(5,6,((((7,(8,9,((10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18,19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;10-18;11-18;11-12;15-17	0;5;2;4;5;1;2;10;19;8;2;1;1;1
26	(1,2,(3,(4,(5,6,((((7,(8,9,((10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18,19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;10-18;11-18;12-18;12-15	0;5;2;4;5;1;2;10;19;8;2;1;1;1
27	(1,2,(3,(4,(5,6,((((7,(8,9,((10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18,19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;10-18;11-18;12-18;15-17	0;5;2;4;5;1;2;10;19;8;2;1;1;1
28	(1,2,(3,(4,(5,6,((((7,(8,9,(10,(((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;11-19;11-18;11-12;15-17	0;5;2;4;5;1;2;10;19;8;5;1;1;1
29	(1,2,(3,(4,(5,6,((((7,(8,9,(10,((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;11-19;11-18;12-18;12-15	0;5;2;4;5;1;2;10;19;8;5;1;1;1
30	(1,2,(3,(4,(5,6,((((7,(8,9,(10,((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;11-19;11-18;12-18;15-17	0;5;2;4;5;1;2;10;19;8;5;1;1;1
31	(1,2,(3,(4,(5,6,((((7,(8,9,(10,(11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;11-19;12-19;12-18;12-15	0;5;2;4;5;1;2;10;19;8;5;6;1;1
32	(1,2,(3,(4,(5,6,((((7,(8,9,(10,(11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;8-19;10-19;11-19;12-19;12-18;15-17	0;5;2;4;5;1;2;10;19;8;5;6;1;1
33	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,((((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;11-19;11-18;11-12;15-17	0;5;2;4;5;1;2;1;2;5;1;1;1
34	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;11-19;11-18;12-18;12-15	0;5;2;4;5;1;2;1;2;5;1;1;1
35	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;11-19;11-18;12-18;15-17	0;5;2;4;5;1;2;1;2;5;1;1;1
